rank,skill_col,importance
1,skill_sk010,0.052997347380579166
2,skill_sk005,0.0506757200445038
3,skill_sk070,0.03977902064817524
4,skill_sk061,0.038934399944400455
5,skill_sk132,0.03018874477532147
6,skill_sk031,0.02901268074044574
7,skill_sk242,0.027605779936123696
8,skill_sk013,0.027342434598364298
9,skill_sk135,0.026296987055245115
10,skill_sk067,0.025656405854350302
11,skill_sk024,0.024525853913338707
12,skill_sk003,0.02442978649344051
13,skill_sk016,0.022924266032804976
14,skill_sk071,0.02172104949555835
15,skill_sk136,0.021294405693157947
16,skill_sk619,0.02024850584375997
17,skill_sk774,0.019018792974923454
18,skill_sk312,0.01819649378164425
19,skill_sk911,0.017463865381112307
20,skill_sk271,0.015169433658902583
21,skill_sk225,0.01416851535608629
22,skill_sk007,0.012983546781635082
23,skill_sk107,0.01230519145631038
24,skill_sk953,0.011963165435973144
25,skill_sk021,0.011503892317297768
26,skill_sk002,0.011050990518071301
27,skill_sk944,0.01089680177047917
28,skill_sk004,0.010172778048930128
29,skill_sk286,0.010159988639410322
30,skill_sk201,0.010151429805340348
31,skill_sk026,0.009552766632412895
32,skill_sk1011,0.009264533908959103
33,skill_sk949,0.00922474148555148
34,skill_sk012,0.009007766142992167
35,skill_sk041,0.007916851804398219
36,skill_sk777,0.007799932558992968
37,skill_sk239,0.007695552302382759
38,skill_sk124,0.007444307637171991
39,skill_sk948,0.00708850552503743
40,skill_sk093,0.006635627826954981
41,skill_sk1066,0.006622640822865597
42,skill_sk182,0.006586076231892484
43,skill_sk281,0.006520603545988216
44,skill_sk880,0.006358608481526386
45,skill_sk934,0.006283290868196242
46,skill_sk890,0.006207217172329331
47,skill_sk055,0.005885872996119368
48,skill_sk926,0.005146238053180915
49,skill_sk089,0.0050200400719171215
50,skill_sk001,0.004618394086256798
